date,latitude,longitude,country,cases,deaths,unconfirmed,notes
11/1/15,10.490541,-66.895879,Venezuela,4,0,0,no notes
2/1/16,10.509935,-66.898801,Venezuela,319,0,0,no notes
1/1/16,21.302411,-157.851137,United States,4,0,0,no notes
1/1/16,25.702324,-80.294075,United States,3,0,0,no notes
2/1/16,25.702324,-80.294075,United States,11,0,0,no notes
2/1/16,26.102196,-80.140747,United States,4,0,0,no notes
1/1/16,26.543989,-81.850255,United States,2,0,0,no notes
2/1/16,26.543989,-81.850255,United States,1,0,0,no notes
1/1/16,27.938045,-82.489811,United States,3,0,0,no notes
2/1/16,28.087859,-80.614233,United States,1,0,0,no notes
1/1/16,28.299601,-81.409507,United States,1,0,0,no notes
2/1/16,28.699117,-81.353012,United States,1,0,0,no notes
1/1/16,29.660371,-82.411621,United States,1,0,0,no notes
2/1/16,29.707994,-95.400756,United States,7,0,0,no notes
1/1/16,30.138744,-81.534476,United States,1,0,0,no notes
1/1/16,30.634132,-87.066424,United States,1,0,0,no notes
2/1/16,33.754069,-117.832738,United States,1,0,0,no notes
2/1/16,33.808574,-84.395276,United States,1,0,0,no notes
2/1/16,34.057631,-118.207483,United States,1,0,0,no notes
1/1/16,34.750486,-92.339431,United States,1,0,0,no notes
1/1/16,38.404794,-78.855576,United States,1,0,0,no notes
2/1/16,38.562896,-121.77129,United States,1,0,0,no notes
11/1/15,38.912001,-77.075825,United States,1,0,0,no notes
1/1/16,38.912001,-77.075825,United States,2,0,0,no notes
2/1/16,39.153428,-75.526198,United States,1,0,0,no notes
2/1/16,39.378257,-84.514831,United States,1,0,0,no notes
2/1/16,40.048384,-82.451027,United States,1,0,0,no notes
2/1/16,40.257637,-76.880366,United States,4,0,0,no notes
1/1/16,40.57701,-105.149009,United States,3,0,0,no notes
1/1/16,40.715721,-74.006881,United States,3,0,0,no notes
1/1/16,40.726284,-73.553862,United States,1,0,0,no notes
1/1/16,40.902222,-81.102684,United States,1,0,0,no notes
1/1/16,40.957304,-74.062043,United States,1,0,0,no notes
1/1/16,41.043736,-92.797053,United States,1,0,0,no notes
2/1/16,41.135867,-96.039376,United States,1,0,0,no notes
2/1/16,41.256048,-95.97628,United States,1,0,0,no notes
1/1/16,41.442048,-74.368208,United States,1,0,0,no notes
1/1/16,41.50224,-81.622591,United States,1,0,0,no notes
2/1/16,41.598883,-93.623494,United States,1,0,0,no notes
2/1/16,41.680785,-88.083065,United States,1,0,0,no notes
1/1/16,41.788303,-87.604615,United States,2,0,0,no notes
2/1/16,41.788303,-87.604615,United States,1,0,0,no notes
2/1/16,41.83384,-94.093811,United States,3,0,0,no notes
1/1/16,42.363164,-71.068577,United States,1,0,0,no notes
2/1/16,42.925631,-78.831343,United States,1,0,0,no notes
1/1/16,45.18316,-93.36921,United States,1,0,0,no notes
2/1/16,45.52714,-122.614174,United States,1,0,0,no notes
2/1/16,47.053273,-122.84708,United States,1,0,0,no notes
1/1/16,10.662091,-61.507416,Trinidad and Tobago,1,0,0,no notes
2/1/16,47.376573,8.549252,Switzerland,2,0,0,no notes
2/1/16,40.431254,-3.706691,Spain,2,0,0,no notes
2/1/16,-26.175233,28.045642,South Africa,2,0,0,no notes
2/1/16,18.02657,-63.065647,Saint Martin,1,0,0,no notes
1/1/16,18.396767,-66.162586,Puerto Rico,1,0,0,no notes
